court_number_link,court_number,style_of_cause,nature_of_proceeding,re_link
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1126-02,T-1126-02,WHO MEDIA INC. v. WAREHOUSE ONE LTD.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1126-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1118-02,T-1118-02,REACH-EQUALITY ET AL v. REACH NOVA SCOTIA ASSOCIATION,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1118-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1109-02,T-1109-02,VINCOR INTERNATIONAL INC. v. COTE JORDAN INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1109-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1087-02,T-1087-02,GIANT TIGER STORES LIMITED v. 1109115 ONTARIO INC. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1087-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1083-02,T-1083-02,BOMBARDIER INC. v. CHARLES WELLS LTD. ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1083-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1085-02,T-1085-02,PRIMEAU METAL INC. c. LES MANUFACTURIERS D'ALUMINIUM D'OTTAWA INC.,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1085-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1094-02,T-1094-02,CHARLES HOBERMAN ET AL v. DENIS PARE,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1094-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1050-02,T-1050-02,HOMELIFE REALTY SERVICES INC. v. ELSIE TIR ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1050-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1053-02,T-1053-02,BERNARD F. DEPALMA v. BAUER NIKE HOCKEY INC. ET AL,Patent Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1053-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1014-02,T-1014-02,"TOMMY HILFIGER LICENSING, INC. v. JANE DOE ET AL.",Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1014-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1015-02,T-1015-02,LEVI STRAUSS & CO. ET AL v. ESPRIT INTERNATIONAL ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1015-02&select_court=T
http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_moreInfo_e.php?court_no=T-1013-02,T-1013-02,ROCAWEAR LICENSING LLC ET AL v. JANE DOE AND JOHN DOE ET AL,Trade Mark Infringement,http://apps.fct-cf.gc.ca/pq/IndexingQueries/infp_RE_info_e.php?court_no=T-1013-02&select_court=T
